id,context,question,answer_picked,feedback,original_gold_label,votes_distribution
dbb02b54-304d-4d26-ba13-c36ea3721f9a,Austin moved their body from the crime scene so cops wouldn't find it.,What will Austin want to do next?,"[{'answer': 'dispose the body in chemicals'}, {'answer': 'wanted to get away with the crime'}, {'answer': 'dispose the body in chemicals'}, {'answer': 'dispose the body in chemicals'}, {'answer': 'wanted to get away with the crime'}, {'answer': 'dispose the body in chemicals'}, {'answer': 'wanted to get away with the crime'}, {'answer': 'dispose the body in chemicals'}, {'answer': 'wanted to get away with the crime'}, {'answer': 'wanted to get away with the crime'}]",[],dispose the body in chemicals,"{'dispose the body in chemicals': 5, 'wanted to get away with the crime': 5}"
00e143e2-0115-435a-b94f-c8e6ed768a6d,Skylar knew they were nervous and he wanted to ease their minds.,What does Skylar need to do before this?,"[{'answer': 'put together a strong presentation detailing his ideas on how to proceed'}, {'answer': 'put together a strong presentation detailing his ideas on how to proceed'}, {'answer': 'put together a strong presentation detailing his ideas on how to proceed'}, {'answer': 'put together a strong presentation detailing his ideas on how to proceed'}, {'answer': 'put together a strong presentation detailing his ideas on how to proceed'}]",[],put together a strong presentation detailing his ideas on how to proceed,{'put together a strong presentation detailing his ideas on how to proceed': 5}
2f026da0-13f8-46c2-bfad-94d39f40e2d9,Jordan's smoking had negative affects on the health of the children.,What will Others want to do next?,"[{'answer': 'take the children to the doctor'}, {'answer': 'get better habits'}, {'answer': 'take the children to the doctor'}, {'answer': 'take the children to the doctor'}, {'answer': 'get better habits'}, {'answer': 'take the children to the doctor'}, {'answer': 'take the children to the doctor'}, {'answer': 'take the children to the doctor'}, {'answer': 'get better habits'}, {'answer': 'take the children to the doctor'}]",[],take the children to the doctor,"{'take the children to the doctor': 7, 'get better habits': 3}"
d5a62cf7-f2df-4495-b4f8-09c94b14172b,Remy was telling a story and told it like Casey does.,Why did Remy do this?,"[{'answer': 'honor Casey'}, {'answer': 'honor Casey'}, {'answer': 'learn casey'}, {'answer': 'honor Casey'}, {'answer': 'honor Casey'}]",[],honor Casey,"{'honor Casey': 4, 'learn casey': 1}"
dee93ff4-aee3-4767-8016-6800ec44112c,Tracy understood Casey's stance better after they had a long conversation together.,What does Tracy need to do before this?,"[{'answer': 'ask Casey to talk'}, {'answer': 'ask Casey to talk'}, {'answer': 'ask Casey to talk'}, {'answer': 'ask Casey to talk'}, {'answer': 'ask Casey to talk'}]",[],ask Casey to talk,{'ask Casey to talk': 5}
d1d9f0ce-1f25-4908-bac8-79ce1a542bb2,Jordan won a car when they entered a raffle.,What will Jordan want to do next?,"[{'answer': 'put the car in the garage'}, {'answer': 'put the car in the garage'}, {'answer': 'pay taxes on the car they won'}, {'answer': 'put the car in the garage'}, {'answer': 'pay taxes on the car they won'}, {'answer': 'put the car in the garage'}, {'answer': 'put the car in the garage'}, {'answer': 'pay taxes on the car they won'}, {'answer': 'pay taxes on the car they won'}, {'answer': 'pay taxes on the car they won'}]",[],put the car in the garage,"{'put the car in the garage': 5, 'pay taxes on the car they won': 5}"
46551b5c-747e-42d4-879f-f65e92aff15e,Carson's friend wanted something sweet to drink. Carson gave their friend some milk.,What will happen to Carson?,"[{'answer': 'talk to the friend'}, {'answer': 'talk to the friend'}, {'answer': 'talk to the friend'}, {'answer': 'talk to the friend'}, {'answer': 'talk to the friend'}]",[],talk to the friend,{'talk to the friend': 5}
ac8a209a-0ea7-4368-8286-7877c5607d2d,Robin took the Math test at face value because it was based on logic.,How would Robin feel afterwards?,"[{'answer': 'smart'}, {'answer': 'smart'}, {'answer': 'smart'}, {'answer': 'unprepared'}, {'answer': 'unprepared'}, {'answer': 'unprepared'}, {'answer': 'unprepared'}, {'answer': 'unprepared'}, {'answer': 'smart'}, {'answer': 'smart'}]","[{'feedback': 'The answer depends on what is meant by the test being ""based on logic""'}]",smart,"{'smart': 5, 'unprepared': 5}"
6ad1a804-c787-4aa4-be7b-c7dbf26509c8,Riley told Lee to stay at work a little later that night.,What will happen to Lee?,"[{'answer': 'he will make money'}, {'answer': 'he will make money'}, {'answer': 'he will make money'}, {'answer': 'he will make money'}, {'answer': 'he will make money'}]",[],he will make money,{'he will make money': 5}
5f178a03-cacb-46db-b3f3-e58cbb8e485d,Jesse set Robin's case on fire. Robin was very angry and called the cops on her.,What will happen to Jesse?,"[{'answer': 'go to jail'}, {'answer': 'go to jail'}, {'answer': 'go to jail'}, {'answer': 'go to jail'}, {'answer': 'go to jail'}]",[],go to jail,{'go to jail': 5}
5ec18a9d-9fef-48c7-87c5-006a109132bc,Kai knew that things were getting out of control and managed to keep his temper in check.,How would Others feel as a result?,"[{'answer': 'relieved'}, {'answer': 'relieved'}, {'answer': 'relieved'}, {'answer': 'relieved'}, {'answer': 'relieved'}]",[],relieved,{'relieved': 5}
7662a053-cddb-4f6f-95ea-69d9ffa1e40f,Remy was a hard worker at an insurance company. They were working late.,Why did Remy do this?,"[{'answer': 'get rich'}, {'answer': 'get rich'}, {'answer': 'receive an assignment to work on'}, {'answer': 'get rich'}, {'answer': 'get rich'}]",[],get rich,"{'get rich': 4, 'receive an assignment to work on': 1}"
cd5304d1-4ee5-48dc-be6d-4d2cc3011258,Ash redeemed themselves after retaking the test they failed.,How will Ash feel as a result?,"[{'answer': 'accomplished'}, {'answer': 'relieved'}, {'answer': 'accomplished'}, {'answer': 'accomplished'}, {'answer': 'proud'}, {'answer': 'accomplished'}, {'answer': 'accomplished'}, {'answer': 'proud'}, {'answer': 'relieved'}, {'answer': 'accomplished'}]",[],accomplished,"{'accomplished': 6, 'relieved': 2, 'proud': 2}"
3ab38777-03eb-492c-b188-79b9f3a8146c,Sasha spent Austin's money trying to win a prize even when the odds were stacked against her.,What will Austin want to do next?,"[{'answer': 'yell at Sasha for doing that'}, {'answer': 'yell at Sasha for doing that'}, {'answer': 'yell at Sasha for doing that'}, {'answer': 'yell at Sasha for doing that'}, {'answer': 'yell at Sasha for doing that'}]",[],yell at Sasha for doing that,{'yell at Sasha for doing that': 5}
a4a532e5-3c18-4884-9aac-af022b216eda,Robin built a snowman in the snow and gave it a new name.,What will Robin want to do next?,"[{'answer': 'put a carrot in the nose'}, {'answer': 'put a carrot in the nose'}, {'answer': 'put a carrot in the nose'}, {'answer': 'put a carrot in the nose'}, {'answer': 'put a carrot in the nose'}]",[],put a carrot in the nose,{'put a carrot in the nose': 5}
220f209b-458a-4e1f-960e-00e20198e998,Bailey felt bad. He overslept and missed his appointment for the job interview.,What does Bailey need to do before this?,"[{'answer': 'try to reschedule the interview'}, {'answer': 'try to reschedule the interview'}, {'answer': 'set his alarm clock'}, {'answer': 'call and apologize'}, {'answer': 'try to reschedule the interview'}, {'answer': 'set his alarm clock'}, {'answer': 'set his alarm clock'}, {'answer': 'set his alarm clock'}, {'answer': 'call and apologize'}, {'answer': 'try to reschedule the interview'}]","[{'feedback': '2 & 3 Could be possible answers, but assumed 3 would be done before 2.'}]",set his alarm clock,"{'try to reschedule the interview': 4, 'set his alarm clock': 4, 'call and apologize': 2}"
c111d45f-d6c7-45e2-b5ef-bbda5edf9288,Kendall said that nobody was to use their phone. Jesse used Kendall's phone anyway.,What will Kendall want to do next?,"[{'answer': 'lock their phone'}, {'answer': 'lock their phone'}, {'answer': 'lock their phone'}, {'answer': 'lock their phone'}, {'answer': 'lock their phone'}]",[],lock their phone,{'lock their phone': 5}
fd256223-fe5e-4f75-ba4a-6fac1c2f67cf,Addison took the test in their science class after studying all night.,What will Addison want to do next?,"[{'answer': 'get a good grade'}, {'answer': 'get a good grade'}, {'answer': 'turn in their test'}, {'answer': 'get a good grade'}, {'answer': 'turn in their test'}, {'answer': 'get a good grade'}, {'answer': 'get a good grade'}, {'answer': 'turn in their test'}, {'answer': 'get a good grade'}, {'answer': 'get a good grade'}]",[],get a good grade,"{'get a good grade': 7, 'turn in their test': 3}"
a75c56d9-1c23-4671-b931-7df624dc3d43,"Ash was nervous, and cringed when they missed a step, but knew that the best thing to do is push forward. They earned a standing ovation.",Why did Ash do this?,"[{'answer': 'Prove they could do it'}, {'answer': 'Prove they could do it'}, {'answer': 'Prove they could do it'}, {'answer': 'Prove they could do it'}, {'answer': 'Prove they could do it'}]",[],Prove they could do it,{'Prove they could do it': 5}
c63457f1-3988-4649-9eca-3a30814805e8,Cameron wasted money on an expensive handbag.,Why did Cameron do this?,"[{'answer': 'buy a status item'}, {'answer': 'buy a status item'}, {'answer': 'buy a status item'}, {'answer': 'buy a status item'}, {'answer': 'buy a status item'}]",[],buy a status item,{'buy a status item': 5}
d2d7d472-e7b1-4827-989f-ef7e973cbed0,Quinn murdered Remy's wife while Remy was away on a business trip.,How would Quinn feel afterwards?,"[{'answer': 'guilty'}, {'answer': 'guilty'}, {'answer': 'guilty'}, {'answer': 'sad'}, {'answer': 'guilty'}]",[],guilty,"{'guilty': 4, 'sad': 1}"
4955c89d-0cc1-4aee-b617-8b3ecc86a982,Jesse just got a haircut and Riley was observing him with her eyes.,What will happen to Jesse?,"[{'answer': 'Give a compliment to Jesse about his hair/'}, {'answer': ""see Jesse's haircut""}, {'answer': 'Give a compliment to Jesse about his hair/'}, {'answer': 'Give a compliment to Jesse about his hair/'}, {'answer': 'Give a compliment to Jesse about his hair/'}]",[],Give a compliment to Jesse about his hair/,"{'Give a compliment to Jesse about his hair/': 4, ""see Jesse's haircut"": 1}"
dbaaa5a5-e02d-4ed0-b8a0-0648776c6593,Aubrey helped Alex with a task.,What will Alex want to do next?,"[{'answer': 'give Aubrey a hug'}, {'answer': 'give Aubrey a hug'}, {'answer': 'give Aubrey a hug'}, {'answer': 'give Aubrey a hug'}, {'answer': 'give Aubrey a hug'}]","[{'feedback': ""Give a hug seems like the correct answer, but if only works if we know the relationship between Aubrey and Alex is one where that is acceptible. Walk away is probably the most accurate, but it doesn't feel like the right answer for this survey.""}]",give Aubrey a hug,{'give Aubrey a hug': 5}
9844b1f1-4ade-4848-9372-3e0daa21f6f6,Jesse was going to stand alone but stood by Carson instead to keep them company.,How would Cameron feel as a result?,"[{'answer': 'supportive afterwards'}, {'answer': 'friendly afterwards'}, {'answer': 'Glad their friend was their'}, {'answer': 'friendly afterwards'}, {'answer': 'Glad their friend was their'}, {'answer': 'friendly afterwards'}, {'answer': 'supportive afterwards'}, {'answer': 'Glad their friend was their'}, {'answer': 'Glad their friend was their'}, {'answer': 'friendly afterwards'}]","[{'feedback': 'Was it supposed to say Cameron or Carson in the question?'}, {'feedback': 'Sorta confusing question in regards to the three different people mentioned in the context/question.'}]",Glad their friend was their,"{'supportive afterwards': 2, 'friendly afterwards': 4, 'Glad their friend was their': 4}"
45c8bc9b-2d43-49cd-8225-234c6463036f,Kai was a great improvisational guitar player; Kai made it up as Kai goes along.,What will Kai want to do next?,"[{'answer': 'record their improvised music'}, {'answer': 'record their improvised music'}, {'answer': 'learn a cover song'}, {'answer': 'record their improvised music'}, {'answer': 'record their improvised music'}]",[],record their improvised music,"{'record their improvised music': 4, 'learn a cover song': 1}"
9ebc7355-4d98-4a4f-a2f4-7039f93c7a9b,Jordan brought the family for a day out at the beach but when they got there Jordan realised that they had left the food at home for the picnic.,How would you describe Jordan?,"[{'answer': 'Forgetful'}, {'answer': 'Forgetful'}, {'answer': 'Forgetful'}, {'answer': 'Forgetful'}, {'answer': 'frustrated'}]",[{'feedback': 'All of the above work'}],Forgetful,"{'Forgetful': 4, 'frustrated': 1}"
65361b43-e996-455c-beca-0ae7af97d553,Riley is trying to teach Sasha how to swim underwater.,How would you describe Riley?,"[{'answer': 'helpful'}, {'answer': 'helpful'}, {'answer': 'helpful'}, {'answer': 'helpful'}, {'answer': 'helpful'}]",[],helpful,{'helpful': 5}
935397a1-4574-4848-a6c2-838e1ac46b11,Robin put their hand on Addison's wrist to keep Addison from shaking uncontrollably.,What will Addison want to do next?,"[{'answer': 'take their medicine'}, {'answer': 'take their medicine'}, {'answer': 'take their medicine'}, {'answer': 'hit Robin'}, {'answer': 'take their medicine'}]",[],take their medicine,"{'take their medicine': 4, 'hit Robin': 1}"
799ae14c-72b0-4c5b-b359-f1faa5f4a588,Bailey asked Alex to send them the pdf for the school project but Alex never did.,What will happen to Bailey?,"[{'answer': 'blame Alex'}, {'answer': 'have to start over'}, {'answer': 'blame Alex'}, {'answer': 'lash out at Alex'}, {'answer': 'lash out at Alex'}, {'answer': 'blame Alex'}, {'answer': 'lash out at Alex'}, {'answer': 'have to start over'}, {'answer': 'have to start over'}, {'answer': 'lash out at Alex'}]",[],blame Alex,"{'blame Alex': 3, 'have to start over': 3, 'lash out at Alex': 4}"
cfdb02ef-1b61-48d6-a231-c41a43e99af0,Robin put their hand on Addison's wrist so Addison could not escape the situation.,What will happen to Robin?,"[{'answer': 'start to panic and worry'}, {'answer': 'start to panic and worry'}, {'answer': 'lost grip on Addison'}, {'answer': 'be stronger than Addison'}, {'answer': 'lost grip on Addison'}, {'answer': 'start to panic and worry'}, {'answer': 'be stronger than Addison'}, {'answer': 'lost grip on Addison'}, {'answer': 'be stronger than Addison'}, {'answer': 'lost grip on Addison'}]",[],be stronger than Addison,"{'start to panic and worry': 3, 'lost grip on Addison': 4, 'be stronger than Addison': 3}"
07f51707-3a16-41b8-8114-fb4444963d04,Ash threw up their arms and just finally gave up on Sasha and her attitude.,What will happen to Sasha?,"[{'answer': 'abandoned'}, {'answer': 'abandoned'}, {'answer': 'abandoned'}, {'answer': 'abandoned'}, {'answer': 'abandoned'}]",[],abandoned,{'abandoned': 5}
b404da40-19bd-4d37-8362-265439760d45,"Skylar wasn't certain that they had turned off the stove, so they went back to check.",What does Skylar need to do before this?,"[{'answer': 'anxious'}, {'answer': 'anxious'}, {'answer': 'anxious'}, {'answer': 'needed to have turned on the toaster'}, {'answer': 'needed to have turned on the toaster'}, {'answer': 'anxious'}, {'answer': 'anxious'}, {'answer': 'anxious'}, {'answer': 'anxious'}, {'answer': 'needed to have turned on the toaster'}]","[{'feedback': 'I\'m under the assumption that ""stove"" and ""toaster"" are the same thing here. Otherwise there is no answer that fits as the other two options are adjectives not verbs'}]",anxious,"{'anxious': 7, 'needed to have turned on the toaster': 3}"
c6648b10-01a2-44b1-aa5f-3bc2026e5818,Jordan was so good at painting portraits that they made it their career.,Why did Jordan do this?,"[{'answer': ""Jordan's paintings sell for a lot of money""}, {'answer': ""Jordan's paintings sell for a lot of money""}, {'answer': ""Jordan's paintings sell for a lot of money""}, {'answer': ""Jordan's paintings sell for a lot of money""}, {'answer': ""Jordan's paintings sell for a lot of money""}]",[],Jordan's paintings sell for a lot of money,"{""Jordan's paintings sell for a lot of money"": 5}"
1ac99b58-4ee4-4ace-a468-4305b32a67ed,Aubrey worked their best and never received a raise.,How would you describe Aubrey?,"[{'answer': 'underappreciated'}, {'answer': 'underappreciated'}, {'answer': 'underappreciated'}, {'answer': 'underappreciated'}, {'answer': 'underappreciated'}]",[],underappreciated,{'underappreciated': 5}
853af1dc-595e-4fa8-ab6e-0125913d0927,Carson tried to fight Robin last night because Robin hurt Carson a lot.,What will Carson want to do next?,"[{'answer': 'do nothing'}, {'answer': 'hurt Robin'}, {'answer': 'apologize'}, {'answer': 'hurt Robin'}, {'answer': 'hurt Robin'}, {'answer': 'hurt Robin'}, {'answer': 'do nothing'}, {'answer': 'apologize'}, {'answer': 'do nothing'}, {'answer': 'apologize'}]",[],hurt Robin,"{'do nothing': 3, 'hurt Robin': 4, 'apologize': 3}"
9dc4d461-48f8-45fe-a6aa-bad77fb03338,Jan said walk back to the students who were being disruptive and loud.,How would you describe Jan?,"[{'answer': 'no-nonsense'}, {'answer': 'no-nonsense'}, {'answer': 'no-nonsense'}, {'answer': 'Stop talking in mid-sentence and look in a non-aggressive way at the student making the noise'}, {'answer': 'no-nonsense'}]",[],no-nonsense,"{'no-nonsense': 4, 'Stop talking in mid-sentence and look in a non-aggressive way at the student making the noise': 1}"
72c414aa-be48-4eb2-9fbf-e1084a574905,Addison was making a speech in front of a lot of people. Addison regarded every comment made.,How would Addison feel as a result?,"[{'answer': 'good and kind'}, {'answer': 'good and kind'}, {'answer': 'good and kind'}, {'answer': 'good and kind'}, {'answer': 'sad and furious'}]",[],good and kind,"{'good and kind': 4, 'sad and furious': 1}"
c2630e02-05f8-448f-9145-dace14db90bc,"Austin had more than they could handle, so Austin offered Sydney a position at work.",How would you describe Austin?,"[{'answer': 'a supervisor'}, {'answer': 'a supervisor'}, {'answer': 'a supervisor'}, {'answer': 'a supervisor'}, {'answer': 'proud'}]",[],a supervisor,"{'a supervisor': 4, 'proud': 1}"
d706e553-52da-4eda-92d7-329a75aced38,Tracy gave a gift to my friend and told my friend that I had suggested the gift.,What will happen to my friend?,"[{'answer': 'thank me for the advice I gave'}, {'answer': 'thank me for the advice I gave'}, {'answer': 'thank me for the advice I gave'}, {'answer': 'thank me for the advice I gave'}, {'answer': 'thank me for the advice I gave'}]",[],thank me for the advice I gave,{'thank me for the advice I gave': 5}
0413613d-7907-4c77-a441-f401c6574c61,Riley regarded Jesse with observant eyes. He didn't trust Jesse because he's known her a long time.,What will Riley do?,"[{'answer': ""Not take Jesse's word for anything""}, {'answer': ""Not take Jesse's word for anything""}, {'answer': ""Not take Jesse's word for anything""}, {'answer': ""Not take Jesse's word for anything""}, {'answer': ""Not take Jesse's word for anything""}]",[],Not take Jesse's word for anything,"{""Not take Jesse's word for anything"": 5}"
04052ca7-ea19-4545-ba83-888946437ca8,Jesse broke her leg and could not take the students on the trip after all.,What does Tracy need to do before this?,"[{'answer': 'tell Jesse she was willing to go'}, {'answer': 'rest her leg'}, {'answer': 'tell Jesse she was willing to go'}, {'answer': 'tell Jesse she was willing to go'}, {'answer': 'tell Jesse she was willing to go'}]",[],tell Jesse she was willing to go,"{'tell Jesse she was willing to go': 4, 'rest her leg': 1}"
bbdedaf1-e52a-47c3-87ed-38ea3a19a9af,riley was a distrustful person so he regarded jesse with suspicious eyes.,What will happen to Jesse?,"[{'answer': 'he will ignore riley'}, {'answer': 'he will question riley'}, {'answer': 'he will ignore riley'}, {'answer': 'he will question riley'}, {'answer': 'call Jesse out'}, {'answer': 'he will question riley'}, {'answer': 'he will question riley'}, {'answer': 'he will ignore riley'}, {'answer': 'he will ignore riley'}, {'answer': 'he will ignore riley'}]",[],he will question riley,"{'he will ignore riley': 5, 'he will question riley': 4, 'call Jesse out': 1}"
9c222791-1836-49e8-821c-78324c837621,Lee made copies so that everyone at the table could follow along.,What will Lee want to do next?,"[{'answer': 'make sure there are enough'}, {'answer': 'make sure there are enough'}, {'answer': 'make sure there are enough'}, {'answer': 'make sure there are enough'}, {'answer': 'make sure there are enough'}]",[],make sure there are enough,{'make sure there are enough': 5}
2340237a-9178-4cc6-8688-cd683101e9fb,Sydney opened a savings account after learning about getting interest on their money.,What does Sydney need to do before this?,"[{'answer': 'do some research'}, {'answer': 'do some research'}, {'answer': 'do some research'}, {'answer': 'do some research'}, {'answer': 'do some research'}]",[],do some research,{'do some research': 5}
84ce23d2-6d44-4a03-9446-a30cfefe482a,Tracy wore Sydney's jacket to school without asking for permission.,How would you describe Tracy?,"[{'answer': 'rude'}, {'answer': 'rude'}, {'answer': 'rude'}, {'answer': 'rude'}, {'answer': 'rude'}]",[],rude,{'rude': 5}
1486d91e-fcb0-4413-ae0c-b66b1b69d7ef,Carson was wrongfully convicted for a crime. Taylor proved Carson's point last night and the judge agreed.,What will happen to Carson?,"[{'answer': 'be released'}, {'answer': 'be released'}, {'answer': 'be released'}, {'answer': 'be released'}, {'answer': 'be released'}]",[],be released,{'be released': 5}
946cf30e-a2a0-464c-928e-40100a8a40f1,Kai grabbed Carson's tools and put them away because Carson was being lazy.,How would Kai feel afterwards?,"[{'answer': 'accomplished'}, {'answer': 'accomplished'}, {'answer': 'accomplished'}, {'answer': 'accomplished'}, {'answer': 'accomplished'}]",[],accomplished,{'accomplished': 5}
2c11df4a-5ce5-44ab-9124-7d6a3ac36ca0,Addison regarded every comment very seriously and listened to all the instructions.,How would you describe Addison?,"[{'answer': 'contemplative'}, {'answer': 'contemplative'}, {'answer': 'serious'}, {'answer': 'serious'}, {'answer': 'serious'}, {'answer': 'contemplative'}, {'answer': 'addison was law biding'}, {'answer': 'serious'}, {'answer': 'serious'}, {'answer': 'serious'}]",[],serious,"{'contemplative': 3, 'serious': 6, 'addison was law biding': 1}"
8758db31-b9bc-4cd4-8630-b29b27fb21ca,Riley cried after Jesse said something.,What did Jesse say?,"[{'answer': 'Insults about Riley'}, {'answer': 'Insults about Riley'}, {'answer': 'Insults about Riley'}, {'answer': 'Insults about Riley'}, {'answer': 'Insults about Riley'}]",[],Insults about Riley,{'Insults about Riley': 5}
951133fb-7c87-407d-bd24-c00ff78e5c19,Kai handed back the mail after they looked at it.,How would you describe Kai?,"[{'answer': ""As someone who knows what's in the mail""}, {'answer': ""As someone who knows what's in the mail""}, {'answer': ""As someone who knows what's in the mail""}, {'answer': ""As someone who knows what's in the mail""}, {'answer': ""As someone who knows what's in the mail""}]",[],As someone who knows what's in the mail,"{""As someone who knows what's in the mail"": 5}"
c7c81ebc-9a69-48d7-b078-3e15d9566594,Quinn showed it off to Casey's friends in the birthday party.,What will happen to Casey?,"[{'answer': 'be called a show off at the birthday party'}, {'answer': 'be called a show off at the birthday party'}, {'answer': 'be called a show off at the birthday party'}, {'answer': 'not humble'}, {'answer': 'like a bragger at the party'}, {'answer': 'be called a show off at the birthday party'}, {'answer': 'not humble'}, {'answer': 'be called a show off at the birthday party'}, {'answer': 'not humble'}, {'answer': 'not humble'}]","[{'feedback': ""I don't think any of these answers are necessarily the case. Quinn may be so overpowering in his personality that Casey couldn't stop Quinn. In that case, none of the answers apply.""}, {'feedback': 'None of these three fit very well.'}, {'feedback': 'Confusing question.'}]",be called a show off at the birthday party,"{'be called a show off at the birthday party': 5, 'not humble': 4, 'like a bragger at the party': 1}"
d4169f41-ed47-4563-848c-d6bb113316e3,Riley was really hungry so she ate Jordan's bread.,How would you describe Riley?,"[{'answer': 'Uncaring'}, {'answer': 'Uncaring'}, {'answer': 'Uncaring'}, {'answer': 'Uncaring'}, {'answer': 'Looking at some of the reasons to hungry'}]",[],Uncaring,"{'Uncaring': 4, 'Looking at some of the reasons to hungry': 1}"
2cd8f9dc-04d5-49cd-b49c-67289360b381,Kai was finally on vacation and went to the beach. Kai felt relaxed laying in the sun.,What does Kai need to do before this?,"[{'answer': 'take off work'}, {'answer': 'take off work'}, {'answer': 'take off work'}, {'answer': 'take off work'}, {'answer': 'take off work'}]",[],take off work,{'take off work': 5}
b56bb9bb-d908-41c6-9abf-66c57d741024,Lee left a mess upon Ash and had to clean the mess for a few hours.,What will happen to Ash?,"[{'answer': 'clean up the next mess'}, {'answer': 'sad now'}, {'answer': 'clean up the next mess'}, {'answer': 'sad now'}, {'answer': 'clean up the next mess'}, {'answer': 'clean up the next mess'}, {'answer': 'sad now'}, {'answer': 'get yelled at'}, {'answer': 'clean up the next mess'}, {'answer': 'sad now'}]",[{'feedback': 'Also a confusing question to me. Just assumed it was how Ash would feel about the mess.'}],clean up the next mess,"{'clean up the next mess': 5, 'sad now': 4, 'get yelled at': 1}"
98e478c5-4a30-48b1-bd36-e937a9017863,Sasha worked as a nurse and often stepped in and protected patients rights.,What will happen to the patients?,"[{'answer': 'show Sasha their appreciation with cards'}, {'answer': 'show Sasha their appreciation with cards'}, {'answer': 'show Sasha their appreciation with cards'}, {'answer': 'show Sasha their appreciation with cards'}, {'answer': 'show Sasha their appreciation with cards'}]",[],show Sasha their appreciation with cards,{'show Sasha their appreciation with cards': 5}
