id,context,question,answerA,answerA_ratings,answerA_stats,feedback_answerA,answerB,answerB_ratings,answerB_stats,feedback_answerB,answerC,answerC_ratings,answerC_stats,feedback_answerC,gold_label,gold_label_rating
95ad0e43-a396-4bbf-8d00-0872ea1052ae,Robin put their hand on Addison's wrist so Addison could not escape the situation.,What will happen to Robin?,start to panic and worry,"[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}",[],lost grip on Addison,"[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 2.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 2}",[],be stronger than Addison,"[{'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}",[],be stronger than Addison,3
07f6d536-a909-4e23-89ec-55928c8c5891,jordan wanted to be nice to a girl so he took her to the shoe store.,What does Jordan need to do before this?,buy the girl some shoes,"[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 2.2, 'variance': 2.7, 'std_dev': 1.6431676725154984, 'median': 2}",[],ask the girl on a date,"[{'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}",[],be kind,"[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}",[],ask the girl on a date,3.4
5892b053-5d38-4a07-8f4b-f98cf8e85ef8,"Not wanting to raise too much consternation, Jesse ultimately believed every word.",What will Others want to do next?,work with Jesse,"[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 2}",[],collude,"[{'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}",[],shun Jesse,"[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}",[],work with Jesse,2.6
46b39a8c-8771-48bd-8202-f7c860097461,Jesse was going to stand alone but stood by Carson instead to keep them company.,How would Cameron feel as a result?,supportive afterwards,"[{'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 4}",[],Glad their friend was their,"[{'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 3}","[{'feedback': 'Is it intentional that the context and question use two different names (Carson and Cameron)? Also the final word in the answer should presumably be ""there"" not ""their""'}, {'feedback': 'This one is tough to follow'}, {'feedback': 'Who is Cameron? Is Cameron a friend of Jesse or Carson?'}]",friendly afterwards,"[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}]","{'mean': 3.6, 'variance': 2.3000000000000003, 'std_dev': 1.5165750888103102, 'median': 4}","[{'feedback': ""Cameron's relationship to Jesse and Carson is not stated""}, {'feedback': ""Cameron wasn't even mentioned but if he saw this happen or something it could make him feel friendly.""}]",Glad their friend was their,3
4b74d5d6-d600-4458-ba06-15f3104188d8,Remy was telling a story and told it like Casey does.,Why did Remy do this?,learn casey,"[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}]","{'mean': 2, 'variance': 3, 'std_dev': 1.7320508075688772, 'median': 1}","[{'feedback': 'Impossible as the answer is unclear and does not make explicit sense to me'}, {'feedback': 'People will often mimic someone to try and learn more of the nuances about a person.'}, {'feedback': ""Doesn't make sense""}]",tell Casey's story,"[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 4}",[],honor Casey,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}]","{'mean': 3.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 4}",[],honor Casey,3.8
2c81d802-a133-45c6-b979-e5bda153d6d5,Remy was a hard worker at an insurance company. They were working late.,Why did Remy do this?,get a job at an insurance company,"[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 2.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 2}","[{'feedback': 'Technically plausible in the event Remy was looking to get another job at another insurance company '}, {'feedback': 'Remy already had a job at an insurance company. If the answer included ""at another"" company, I\'d say plausible.'}]",get rich,"[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2.8, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}",[],receive an assignment to work on,"[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}]","{'mean': 3.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 3}",[],get rich,2.8
9be2079c-843b-4ada-a015-8e66469044f4,"Robin had a hard time understanding the concept, so she let Carson explain it more thoroughly.",How would Carson feel as a result?,frustrated that Robin didn't understand,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3.2, 'variance': 0.19999999999999998, 'std_dev': 0.4472135954999579, 'median': 3}",[],ready to play,"[{'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}]","{'mean': 2.6, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}",[],ready to work,"[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}",[],frustrated that Robin didn't understand,3.2
cd2677f2-064d-4b67-afce-b6dc29e318a3,Alex knocked on wood after seeing a cat walk past him.,How would Alex feel afterwards?,reassured,"[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.2, 'variance': 0.7, 'std_dev': 0.8366600265340756, 'median': 3}",[],unlucky,"[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 3.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}",[],a paranoid person,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 3}",[],a paranoid person,3
36cfd35d-9e01-42f3-bb20-3f3547502cbe,jan went to the same school for years so she was best friends with a girl.,What will Others want to do next?,appreciate jan,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '1 - Impossible'}]","{'mean': 3, 'variance': 1.5, 'std_dev': 1.224744871391589, 'median': 3}",[],make sure they kept up their relationship,"[{'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3.4, 'variance': 2.8000000000000003, 'std_dev': 1.6733200530681511, 'median': 3}","[{'feedback': ""Others aren't previously mentioned in the scenario.""}]",hate jan,"[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '2 - Technically Possible'}]","{'mean': 2, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 2}",[],appreciate jan,3
f4c26420-065e-490a-a360-514014cb922d,"After seeing what a mess Aubrey was, Robin changed her into clean clothes.",How would you describe Robin?,a kind caretaker,"[{'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}]","{'mean': 4.2, 'variance': 1.7, 'std_dev': 1.3038404810405297, 'median': 5}","[{'feedback': 'Robin helped Aubrey, she is very likely both kind and a caretaker given her kind and caring action'}]",like a person who puts in thought,"[{'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 4}",[],a reliable friend,"[{'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}]","{'mean': 4.4, 'variance': 0.8, 'std_dev': 0.8944271909999159, 'median': 5}",[],a kind caretaker,4.2
0cafe7c5-2361-4c06-8180-da3b104f499e,Remy answered the silly question they were asked happily.,Why did Remy do this?,know the answer,"[{'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '5 - Very Likely'}, {'rating': '1 - Impossible'}, {'rating': '4 - Likely'}]","{'mean': 2.8, 'variance': 3.2, 'std_dev': 1.7888543819998317, 'median': 3}","[{'feedback': 'The answer doesn\'t make sense unless it is implying ""so the person asking would know the answer""'}]",think about fun,"[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}]","{'mean': 4, 'variance': 0.5, 'std_dev': 0.7071067811865476, 'median': 4}",[],have fun,"[{'rating': '4 - Likely'}, {'rating': '4 - Likely'}, {'rating': '5 - Very Likely'}, {'rating': '2 - Technically Possible'}, {'rating': '4 - Likely'}]","{'mean': 3.8, 'variance': 1.2, 'std_dev': 1.0954451150103321, 'median': 4}",[],have fun,3.8
642e7838-2a23-4be4-a411-e405f9d0bb19,"Skylar wasn't certain that they had turned off the stove, so they went back to check.",What does Skylar need to do before this?,anxious,"[{'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 1.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 1}","[{'feedback': ""Skylar can't need to be anxious.""}]",needed to have turned on the toaster,"[{'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 1}",[],good,"[{'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}, {'rating': '1 - Impossible'}]","{'mean': 1, 'variance': 0, 'std_dev': 0.0, 'median': 1}","[{'feedback': ""This doesn't even make any sense.""}, {'feedback': ""Doesn't make sense""}]",anxious,1.4
7a22486e-f19f-4b50-b661-414d7eda4ab8,Robin let Carson explain themself to the authorities so that they could best understand the situation.,What does Robin need to do before this?,ignore what was happening,"[{'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '1 - Impossible'}]","{'mean': 1.8, 'variance': 0.7000000000000001, 'std_dev': 0.8366600265340756, 'median': 2}",[],be honest,"[{'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}]","{'mean': 3.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}",[],figure out what was happening,"[{'rating': '3 - Plausible'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.4, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 3}",[],figure out what was happening,3.4
a8aded4c-3df1-4c35-90bb-0673203e5a71,Bailey was a good basketball player who had a special shot in their arsenal.,What does Bailey need to do before this?,needed to do some stretching,"[{'rating': '5 - Very Likely'}, {'rating': '4 - Likely'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}, {'rating': '3 - Plausible'}]","{'mean': 3.6, 'variance': 0.7999999999999999, 'std_dev': 0.8944271909999159, 'median': 3}",[],practice more,"[{'rating': '2 - Technically Possible'}, {'rating': '3 - Plausible'}, {'rating': '5 - Very Likely'}, {'rating': '3 - Plausible'}, {'rating': '4 - Likely'}]","{'mean': 3.4, 'variance': 1.3, 'std_dev': 1.140175425099138, 'median': 3}",[{'feedback': 'All good athletes need to continue to practice.'}],needed to get drunk,"[{'rating': '2 - Technically Possible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}, {'rating': '2 - Technically Possible'}, {'rating': '1 - Impossible'}]","{'mean': 1.6, 'variance': 0.3, 'std_dev': 0.5477225575051661, 'median': 2}","[{'feedback': 'BUt very unlikely'}, {'feedback': ""Technically alcohol could give Bailey the confidence she needs to make the shot, but it's very unlikely as you'd think alcohol would decrease her performance.""}]",practice more,3.4
