id,question,answer_picked,feedback,original_gold_label,votes_distribution
4f7bef95-09af-40dc-a63e-50fcfa13f5fc,James looked up and saw the start twinkling in the black yonder.  He marveled the sheer number of them and the size of what?,"[{'answer': 'night sky'}, {'answer': 'night sky'}, {'answer': 'universe'}, {'answer': 'outer space'}, {'answer': 'universe'}, {'answer': 'night sky'}, {'answer': 'night sky'}, {'answer': 'night sky'}, {'answer': 'night sky'}, {'answer': 'universe'}]","[{'feedback': '"" saw the start twinkling"" I took this as a typo meaning ""star twinkling""'}]",universe,"{'night sky': 6, 'universe': 3, 'outer space': 1}"
ec3172d6-44c3-4cb6-9821-45f31648aee5,What was the man encouraged to do after he expressed his anger violently?,"[{'answer': 'cool off'}, {'answer': 'cool off'}, {'answer': 'cool off'}, {'answer': 'cool off'}, {'answer': 'cool off'}]",[],cool off,{'cool off': 5}
b86d71ad-bef4-4be9-879e-bcd8ade47f16,According to what book did an apple tree lead to the downfall of man?,"[{'answer': 'bible'}, {'answer': 'bible'}, {'answer': 'bible'}, {'answer': 'bible'}, {'answer': 'bible'}]",[],bible,{'bible': 5}
15112d60-9eb2-493f-ae4f-6b6151cbe183,Where is seaweed usually found alive?,"[{'answer': 'found in sea'}, {'answer': 'ocean'}, {'answer': 'found in sea'}, {'answer': 'ocean'}, {'answer': 'ocean'}, {'answer': 'ocean'}, {'answer': 'ocean'}, {'answer': 'ocean'}, {'answer': 'ocean'}, {'answer': 'beach'}]",[],water,"{'found in sea': 2, 'ocean': 7, 'beach': 1}"
27c25eca-137c-4979-9ea6-67985d76328f,From where does a snowflake form?,"[{'answer': 'air'}, {'answer': 'cloud'}, {'answer': 'cloud'}, {'answer': 'cloud'}, {'answer': 'cloud'}]",[],cloud,"{'air': 1, 'cloud': 4}"
9f7a626a-2bc7-437f-9692-dcdcd554cc65,What southern U.S. state is know for having many swamps?,"[{'answer': 'louisiana'}, {'answer': 'louisiana'}, {'answer': 'louisiana'}, {'answer': 'louisiana'}, {'answer': 'wetlands'}]",[],louisiana,"{'louisiana': 4, 'wetlands': 1}"
b8ef88d1-7373-4375-a662-a308475b0bfd,What can a newspaper be used to do to an engagement?,"[{'answer': 'educate'}, {'answer': 'announce'}, {'answer': 'communicate'}, {'answer': 'inform'}, {'answer': 'announce'}, {'answer': 'educate'}, {'answer': 'announce'}, {'answer': 'announce'}, {'answer': 'announce'}, {'answer': 'announce'}]",[{'feedback': 'I am not sure what this question is asking.'}],announce,"{'educate': 2, 'announce': 6, 'communicate': 1, 'inform': 1}"
e2d6008d-926f-4116-ba2a-e595c8a1dda9,"They wanted to recognize his accomplishment, where should they put his name?","[{'answer': 'certificate'}, {'answer': 'certificate'}, {'answer': 'certificate'}, {'answer': 'certificate'}, {'answer': 'certificate'}]",[],certificate,{'certificate': 5}
d319a2b3-87dd-4471-919b-8abea93e7f03,The end of the barrel of what primitive firearm is bell shaped?,"[{'answer': 'blunderbuss'}, {'answer': 'blunderbuss'}, {'answer': 'blunderbuss'}, {'answer': 'blunderbuss'}, {'answer': 'blunderbuss'}]",[],blunderbuss,{'blunderbuss': 5}
686f4f2d-6fdf-4757-af9d-c6367818518c,What do you feel when giving assistance to the needy?,"[{'answer': 'happiness'}, {'answer': 'reward'}, {'answer': 'pleasure'}, {'answer': 'satisfaction'}, {'answer': 'satisfaction'}, {'answer': 'happiness'}, {'answer': 'boredom'}, {'answer': 'happiness'}, {'answer': 'happiness'}, {'answer': 'happiness'}]",[],satisfaction,"{'happiness': 5, 'reward': 1, 'pleasure': 1, 'satisfaction': 2, 'boredom': 1}"
19aa156b-0f8a-441e-b842-469851eca6a8,Where are you if your bieifcase is going through an x-ray machine?,"[{'answer': 'airport'}, {'answer': 'airport'}, {'answer': 'airport'}, {'answer': 'airport'}, {'answer': 'airport'}]","[{'feedback': 'I took ""bieifcase"" as a typo for briefcase.'}]",airport,{'airport': 5}
b0818859-25d5-4226-aa3c-d415c0602ea1,What do singers need to do before a show?,"[{'answer': 'warm up'}, {'answer': 'warm up'}, {'answer': 'warm up'}, {'answer': 'warm up'}, {'answer': 'warm up'}]",[],warm up,{'warm up': 5}
8e311cdd-bbbd-47ed-b8e0-a50d0dfba490,"When you fail to finish something, you failed at doing what to it","[{'answer': 'completing'}, {'answer': 'completing'}, {'answer': 'completing'}, {'answer': 'completing'}, {'answer': 'completing'}]",[],completing,{'completing': 5}
a8e833cd-6971-41a1-84cf-b0fad65d42b5,James loved to surf but he wasn't good at it. He would always do what?,"[{'answer': 'wipe out'}, {'answer': 'wipe out'}, {'answer': 'wipe out'}, {'answer': 'wipe out'}, {'answer': 'wipe out'}]",[],wipe out,{'wipe out': 5}
073f7a7e-d94d-4ff7-af57-9d3586bf823b,Where would you find the sharpest parts of a triangle?,"[{'answer': 'three sides'}, {'answer': 'three vertices'}, {'answer': 'point'}, {'answer': 'point'}, {'answer': 'three vertices'}, {'answer': 'three vertices'}, {'answer': 'point'}, {'answer': 'three vertices'}, {'answer': 'three vertices'}, {'answer': 'point'}]",[],three vertices,"{'three sides': 1, 'three vertices': 5, 'point': 4}"
80c49e31-df74-4161-beb9-8e61bb0490bb,If you're celebrating with too many cocktails what may you have in the morning?,"[{'answer': 'hang over'}, {'answer': 'hang over'}, {'answer': 'hang over'}, {'answer': 'hang over'}, {'answer': 'hang over'}]",[],hang over,{'hang over': 5}
289143de-12a0-47e9-9039-e419f7195c46,When someone is physically competing what does their body do?,"[{'answer': 'sweat'}, {'answer': 'sweat'}, {'answer': 'sweat'}, {'answer': 'tension'}, {'answer': 'sweat'}]",[{'feedback': 'Heart rate would also elevate.'}],sweat,"{'sweat': 4, 'tension': 1}"
d3033b4c-61e6-4445-98a2-a648c14de2c9,How does a planet usually move around the sun?,"[{'answer': 'orbit'}, {'answer': 'orbit'}, {'answer': 'orbit'}, {'answer': 'orbit'}, {'answer': 'orbit'}]",[],orbit,{'orbit': 5}
ff9d8207-b2c3-4e11-a308-8734b50846f8,Where is a well used toy car likely to be found?,"[{'answer': ""boy's bedroom""}, {'answer': ""child's room""}, {'answer': ""boy's bedroom""}, {'answer': ""child's room""}, {'answer': ""child's room""}, {'answer': ""child's room""}, {'answer': ""child's room""}, {'answer': ""child's room""}, {'answer': ""boy's bedroom""}, {'answer': ""child's room""}]",[],child's room,"{""boy's bedroom"": 3, ""child's room"": 7}"
18cb82c2-3ef9-4cbe-8731-9b4df8c4b2a0,What is the process of going somewhere?,"[{'answer': 'transporting'}, {'answer': 'transporting'}, {'answer': 'transporting'}, {'answer': 'transporting'}, {'answer': 'transporting'}]","[{'feedback': ""Transporting self, it doesn't have to be in a car.""}, {'feedback': 'my first choice was energy then I changed it.'}]",transporting,{'transporting': 5}
592220b5-37e4-4372-b960-bb84055ad77a,"If you have leftover cake, where would you put it?","[{'answer': 'refrigerator'}, {'answer': 'refrigerator'}, {'answer': 'refrigerator'}, {'answer': 'refrigerator'}, {'answer': 'refrigerator'}]",[],refrigerator,{'refrigerator': 5}
13d7fafb-5fc6-4bbc-bb08-ae59185548c5,Where would someone keep their nylon leggings?,"[{'answer': 'drawer'}, {'answer': 'drawer'}, {'answer': 'drawer'}, {'answer': 'drawer'}, {'answer': 'drawer'}]",[],drawer,{'drawer': 5}
d3b02aa8-01e3-499e-85a3-52836b8150f3,What do people do when they think too quickly?,"[{'answer': 'jump to conclusions'}, {'answer': 'jump to conclusions'}, {'answer': 'jump to conclusions'}, {'answer': 'jump to conclusions'}, {'answer': 'jump to conclusions'}]",[],jump to conclusions,{'jump to conclusions': 5}
785ceb3a-7475-4086-8937-e9605f9adc61,Where are horses judged on appearance?,"[{'answer': 'fair'}, {'answer': 'fair'}, {'answer': 'fair'}, {'answer': 'fair'}, {'answer': 'fair'}]",[],fair,{'fair': 5}
ba828ef8-b2ca-493c-b2ed-17c12a43f3ae,What must a student in engineering do?,"[{'answer': 'do mathematics'}, {'answer': 'do mathematics'}, {'answer': 'do mathematics'}, {'answer': 'answer question'}, {'answer': 'do mathematics'}]",[],do mathematics,"{'do mathematics': 4, 'answer question': 1}"
aec28530-1463-466f-8d17-518bc8486f84,"Joan wants to cook a potato, where should she place it?","[{'answer': 'boiling water'}, {'answer': 'boiling water'}, {'answer': 'boiling water'}, {'answer': 'boiling water'}, {'answer': 'boiling water'}]",[],boiling water,{'boiling water': 5}
dd4e0b6e-b2f1-4f66-806a-7e8d6a84d35a,"Where can you find the meaning of ""ficus""?","[{'answer': 'dictionary'}, {'answer': 'dictionary'}, {'answer': 'arboretum'}, {'answer': 'dictionary'}, {'answer': 'dictionary'}]",[],dictionary,"{'dictionary': 4, 'arboretum': 1}"
dd66c71c-9ef8-48a2-b591-f0d29d987190,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,"[{'answer': 'sleeping in'}, {'answer': 'making love'}, {'answer': 'rest'}, {'answer': 'making love'}, {'answer': 'making love'}, {'answer': 'rest'}, {'answer': 'making love'}, {'answer': 'making love'}, {'answer': 'rest'}, {'answer': 'rest'}]",[],making love,"{'sleeping in': 1, 'making love': 5, 'rest': 4}"
e0eaeb2b-2a26-4187-92d6-f2915d756c65,Where do people get beer after a bit of gambling?,"[{'answer': 'casino'}, {'answer': 'casino'}, {'answer': 'casino'}, {'answer': 'casino'}, {'answer': 'casino'}]",[],casino,{'casino': 5}
23d16255-4625-4df2-8641-585acdfa7092,The earth is one planet in what?,"[{'answer': 'solar system'}, {'answer': 'solar system'}, {'answer': 'solar system'}, {'answer': 'solar system'}, {'answer': 'solar system'}]",[],solar system,{'solar system': 5}
ecb72456-73be-414c-8c0c-288488f5ccaf,Nature creates more beautiful structures than those that are what?,"[{'answer': 'man made'}, {'answer': 'man made'}, {'answer': 'artificial'}, {'answer': 'artificial'}, {'answer': 'artificial'}, {'answer': 'artificial'}, {'answer': 'artificial'}, {'answer': 'man made'}, {'answer': 'man made'}, {'answer': 'artificial'}]",[],man made,"{'man made': 4, 'artificial': 6}"
e9272c3a-a79a-4c12-b140-0d3d287524e6,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,"[{'answer': 'england'}, {'answer': 'england'}, {'answer': 'england'}, {'answer': 'england'}, {'answer': 'england'}]",[],england,{'england': 5}
710d891e-9cb0-4e7b-815e-85aa4aa72a6b,Where could you go to between 1000 and 10000 restaurant?,"[{'answer': 'yellow pages'}, {'answer': 'yellow pages'}, {'answer': 'big city'}, {'answer': 'canada'}, {'answer': 'yellow pages'}, {'answer': 'big city'}, {'answer': 'big city'}, {'answer': 'big city'}, {'answer': 'big city'}, {'answer': 'yellow pages'}]",[{'feedback': 'This question does not make much sense.'}],big city,"{'yellow pages': 4, 'big city': 5, 'canada': 1}"
d83d32d3-2356-4f77-8df0-f2987439aabe,"The pitcher felt stress and tension on the mound, what did he feel like?","[{'answer': 'hell'}, {'answer': 'hell'}, {'answer': 'hell'}, {'answer': 'hell'}, {'answer': 'baseball diamond'}]",[],hell,"{'hell': 4, 'baseball diamond': 1}"
df54a801-2db8-4a15-9bf8-3589673374b7,Sitting down quickly after eating beans could lead to what?,"[{'answer': 'flatulence'}, {'answer': 'fall asleep'}, {'answer': 'flatulence'}, {'answer': 'flatulence'}, {'answer': 'flatulence'}]",[],flatulence,"{'flatulence': 4, 'fall asleep': 1}"
e7b8699e-1f61-432b-b80b-faae5bf17587,"If I have a modern light source in my living room, what is it likely to be?","[{'answer': 'lamp'}, {'answer': 'lamp'}, {'answer': 'lamp'}, {'answer': 'lamp'}, {'answer': 'lamp'}]",[],lamp,{'lamp': 5}
a1576c09-c408-4ea4-b01a-7ccc88e2f519,What does everyone feel of monsters?,"[{'answer': 'afraid of'}, {'answer': 'afraid of'}, {'answer': 'afraid of'}, {'answer': 'afraid of'}, {'answer': 'afraid of'}]",[],afraid of,{'afraid of': 5}
02925661-61d5-44f7-9da5-3b4a81fa2fdf,Why do people who are dying receive social security payments?,"[{'answer': 'unable to work'}, {'answer': 'unable to work'}, {'answer': 'unable to work'}, {'answer': 'unable to work'}, {'answer': 'unable to work'}]",[],unable to work,{'unable to work': 5}
381e20b4-2f41-4b82-b180-fa631457a099,"Making a schedule was easy to pick, the major called for knowledge that required a certain what?","[{'answer': 'class'}, {'answer': 'class'}, {'answer': 'class'}, {'answer': 'class'}, {'answer': 'class'}]",[],class,{'class': 5}
79c44b14-89c9-48af-86a9-ea5b4d5f23a1,Jodie felt a tightness in her chest. She was worried but didn't want to go to the hospital. Where might she go instead?,"[{'answer': 'bedroom'}, {'answer': 'bedroom'}, {'answer': 'human being'}, {'answer': 'bedroom'}, {'answer': 'bedroom'}]",[],bedroom,"{'bedroom': 4, 'human being': 1}"
0fa1a03b-b0d3-443f-92aa-0887280879eb,"She loved spending money at the thrift store on knickknacks, this resulted in a lot of what on every shelf in her house?","[{'answer': 'clutter'}, {'answer': 'clutter'}, {'answer': 'clutter'}, {'answer': 'clutter'}, {'answer': 'clutter'}]",[{'feedback': 'It could be satisfaction too if she enjoys looking at everything on the shelf'}],clutter,{'clutter': 5}
e7a100cf-3c88-4e14-ab88-b097a4953673,"The baby was cranky, it needed to eat breakfast but refused to what?","[{'answer': 'open mouth'}, {'answer': 'open mouth'}, {'answer': 'open mouth'}, {'answer': 'open mouth'}, {'answer': 'open mouth'}]",[],open mouth,{'open mouth': 5}
3e205166-82bf-428f-ad48-2e463babc2be,"The rats were hiding in the house, where were they?","[{'answer': 'basement'}, {'answer': 'basement'}, {'answer': 'basement'}, {'answer': 'basement'}, {'answer': 'cellar'}]","[{'feedback': ""I don't know the exact difference between a cellar and basement""}, {'feedback': 'cellar and basement are the same thing to me'}]",cellar,"{'basement': 4, 'cellar': 1}"
a05dce58-fd6b-4b8d-b7ce-7b297882264e,Where could a personal ficus live?,"[{'answer': 'conservatory'}, {'answer': 'front yard'}, {'answer': 'front yard'}, {'answer': 'cabin in the woods'}, {'answer': 'front yard'}, {'answer': 'tropical forest'}, {'answer': 'front yard'}, {'answer': 'front yard'}, {'answer': 'front yard'}, {'answer': 'front yard'}]","[{'feedback': ""I guess this is a type of tree but I don't know anything about its habitat""}]",front yard,"{'conservatory': 1, 'front yard': 7, 'cabin in the woods': 1, 'tropical forest': 1}"
317e6eca-56ed-45e2-bddc-3afa321dd2f9,"At the end of the day as he began to eat he paused and thanked her, it wasn't often she would what?","[{'answer': 'cook dinner'}, {'answer': 'cook dinner'}, {'answer': 'cook dinner'}, {'answer': 'cook dinner'}, {'answer': 'cook dinner'}]",[],cook dinner,{'cook dinner': 5}
3e7c5836-414f-499b-8229-eec3650872d7,Where is a salt shaker most often kept?,"[{'answer': 'table setting'}, {'answer': 'table setting'}, {'answer': 'table setting'}, {'answer': 'kitchen cupboard'}, {'answer': 'kitchen cupboard'}, {'answer': 'kitchen cupboard'}, {'answer': 'table setting'}, {'answer': 'kitchen cupboard'}, {'answer': 'table setting'}, {'answer': 'table setting'}]",[],table setting,"{'table setting': 6, 'kitchen cupboard': 4}"
c61894f9-d75f-4f93-aa04-524901193709,Sam couldn't get back to sleep because of a dream he had.  It was a what?,"[{'answer': 'nightmare'}, {'answer': 'nightmare'}, {'answer': 'nightmare'}, {'answer': 'nightmare'}, {'answer': 'nightmare'}]",[],nightmare,{'nightmare': 5}
d33b3266-6e31-4325-8bc7-d213b13e5903,What is the habitat of the fox?,"[{'answer': 'burrow'}, {'answer': 'burrow'}, {'answer': 'burrow'}, {'answer': 'burrow'}, {'answer': 'burrow'}]",[],mountains,{'burrow': 5}
524f36ea-16af-487a-8915-3cf268c4da15,A good interview after applying for a job may cause you to feel what?,"[{'answer': 'hope'}, {'answer': 'hope'}, {'answer': 'hope'}, {'answer': 'hope'}, {'answer': 'hope'}]",[],hope,{'hope': 5}
50b12df5-7da4-4a2b-90d0-c85d979b9706,In what substance do clouds float?,"[{'answer': 'air'}, {'answer': 'air'}, {'answer': 'air'}, {'answer': 'sky'}, {'answer': 'air'}]",[],air,"{'air': 4, 'sky': 1}"
f9bcd481-2920-419f-a2f6-c43d0152f4e5,How would you get from one side of a canal to another?,"[{'answer': 'barges to travel on'}, {'answer': 'barges to travel on'}, {'answer': 'bridge'}, {'answer': 'bridge'}, {'answer': 'bridge'}, {'answer': 'bridge'}, {'answer': 'bridge'}, {'answer': 'bridge'}, {'answer': 'bridge'}, {'answer': 'bridge'}]","[{'feedback': 'If you want to cross perpendicular (get to the land on the other side), use a bridge. If you want to cross the length of the canal (get from one body of water to another), use a water vehicle'}, {'feedback': 'barges could work too if the canal was big enough'}]",bridge,"{'barges to travel on': 2, 'bridge': 8}"
365d259d-359d-429c-93df-b56b7e556466,"When getting in shape, this is something that does wonders?","[{'answer': 'jogging'}, {'answer': 'jogging'}, {'answer': 'jogging'}, {'answer': 'jogging'}, {'answer': 'period of recovery'}]",[{'feedback': 'I would say both recovery and jogging'}],jogging,"{'jogging': 4, 'period of recovery': 1}"
f66891c0-9fb7-44f4-9f6e-6b7f3b68993a,What is part of a republic like the USA?,"[{'answer': 'state'}, {'answer': 'democracy'}, {'answer': 'democracy'}, {'answer': 'democracy'}, {'answer': 'democracy'}]",[],state,"{'state': 1, 'democracy': 4}"
2d6237b3-c6bd-4c28-9f84-c4afbfa325b7,How might releasing energy that has built up feel?,"[{'answer': 'wonderful'}, {'answer': 'wonderful'}, {'answer': 'wonderful'}, {'answer': 'wonderful'}, {'answer': 'wonderful'}]",[],wonderful,{'wonderful': 5}
b4ef7957-4eca-498a-81e0-1a79be0bd159,What is the animal trying to accomplish?,"[{'answer': 'live long'}, {'answer': 'live long'}, {'answer': 'eating'}, {'answer': 'eating'}, {'answer': 'eating'}, {'answer': 'live long'}, {'answer': 'eating'}, {'answer': 'eating'}, {'answer': 'live long'}, {'answer': 'live long'}]",[],live long,"{'live long': 5, 'eating': 5}"
48255358-c1c7-42ce-8b83-618bef2b885d,"George checked the rotor of the Apache, which wasn't powered by internal combustion, but by what?","[{'answer': 'electric motor'}, {'answer': 'electric motor'}, {'answer': 'rotator'}, {'answer': 'electric motor'}, {'answer': 'electric motor'}]",[],jet engine,"{'electric motor': 4, 'rotator': 1}"
f171694c-cb8b-4ff0-afd3-f9c4ba5fa718,Obstructing justice is sometimes an excuse used for police brutality which causes what in people?,"[{'answer': 'getting hurt'}, {'answer': 'riot'}, {'answer': 'riot'}, {'answer': 'getting hurt'}, {'answer': 'getting hurt'}, {'answer': 'riot'}, {'answer': 'prosecution'}, {'answer': 'getting hurt'}, {'answer': 'getting hurt'}, {'answer': 'getting hurt'}]",[{'feedback': 'riotting sometimes happens too'}],getting hurt,"{'getting hurt': 6, 'riot': 3, 'prosecution': 1}"
1292e915-5bec-4b53-b07e-9a8e41f14fcd,Where do people want to have a lot of coffee?,"[{'answer': 'office'}, {'answer': 'office'}, {'answer': 'office'}, {'answer': 'kitchen'}, {'answer': 'office'}]",[],office,"{'office': 4, 'kitchen': 1}"
5ecce03d-18a6-43a4-b3b0-e814b29e617a,"If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?","[{'answer': 'lawn'}, {'answer': 'lawn'}, {'answer': 'lawn'}, {'answer': 'lawn'}, {'answer': 'lawn'}]","[{'feedback': ""This doesn't make sense to me - isn't a courtyard just an interior lawn? So you would care for the courtyard instead""}]",lawn,{'lawn': 5}
e6ae3b92-6b3e-444e-9143-bb03c1d4341d,"If somebody is working at a reception desk, they are located at the front entrance of the what?","[{'answer': 'lobby'}, {'answer': 'building'}, {'answer': 'building'}, {'answer': 'lobby'}, {'answer': 'lobby'}, {'answer': 'building'}, {'answer': 'building'}, {'answer': 'lobby'}, {'answer': 'lobby'}, {'answer': 'lobby'}]",[],building,"{'lobby': 6, 'building': 4}"
083f5030-1153-4d34-8de4-d9cfd287927a,Why does having a disability sometimes making academic tasks hard for a person?,"[{'answer': 'mentally challenged'}, {'answer': 'mentally challenged'}, {'answer': 'mentally challenged'}, {'answer': 'mentally challenged'}, {'answer': 'mentally challenged'}]",[],mentally challenged,{'mentally challenged': 5}
28bc69be-dabd-4951-85f8-35dbcd5284fd,Where is a teacher likely to keep her clavichord?,"[{'answer': 'music room'}, {'answer': 'music room'}, {'answer': 'music room'}, {'answer': 'music room'}, {'answer': 'music room'}]",[],music room,{'music room': 5}
f933ef84-dd21-4c8b-8372-f78e85c74d0b,What do you write letter in in America?,"[{'answer': 'english alphabet'}, {'answer': 'english alphabet'}, {'answer': 'envelope'}, {'answer': 'word'}, {'answer': 'english alphabet'}, {'answer': 'word'}, {'answer': 'english alphabet'}, {'answer': 'english alphabet'}, {'answer': 'word'}, {'answer': 'word'}]",[{'feedback': 'Wording of this question seems a little off'}],english alphabet,"{'english alphabet': 5, 'envelope': 1, 'word': 4}"
7c5fcbf0-54b4-413b-9e21-0066ce5bd017,Aside from water and nourishment what does your dog need?,"[{'answer': 'lots of attention'}, {'answer': 'lots of attention'}, {'answer': 'lots of attention'}, {'answer': 'lots of attention'}, {'answer': 'lots of attention'}]",[],lots of attention,{'lots of attention': 5}
eef056e5-8648-4762-bbc7-d000e6dbf7ee,"I took my seat, the curtains drew back and I enjoyed the what?","[{'answer': 'show'}, {'answer': 'show'}, {'answer': 'movie'}, {'answer': 'show'}, {'answer': 'show'}]",[],show,"{'show': 4, 'movie': 1}"
7e68d66f-f80a-4795-bd2c-3fdef7e9c225,"The person wasn't bothered by the weather, she had remembered to bring her what?","[{'answer': 'warm coat'}, {'answer': 'warm coat'}, {'answer': 'warm coat'}, {'answer': 'warm coat'}, {'answer': 'warm coat'}]",[],warm coat,{'warm coat': 5}
a0006e2f-6308-4f69-b7b0-b466cafe7cb1,James wanted to find an old underground map from the 50s.  Where might he look for one?,"[{'answer': ""county engineer's office""}, {'answer': ""county engineer's office""}, {'answer': ""county engineer's office""}, {'answer': ""county engineer's office""}, {'answer': 'library'}]","[{'feedback': ""I feel that even though the common sense answer is the county engineer's office if someone is looking for an old underground map from the 50s - I also think that someone may possibly find a map like that in the library as well!""}]",library,"{""county engineer's office"": 4, 'library': 1}"
1efd81a3-d6b9-4a7a-aa2f-7c1b78b9495d,What do children require to grow up healthy?,"[{'answer': 'need care'}, {'answer': 'need care'}, {'answer': 'need care'}, {'answer': 'need care'}, {'answer': 'need care'}]",[],need care,{'need care': 5}
c81a0b74-84c1-4986-bd67-3fbc0fbf8bed,Where can many stores with clothing be found?,"[{'answer': 'mall'}, {'answer': 'mall'}, {'answer': 'mall'}, {'answer': 'mall'}, {'answer': 'mall'}]",[],mall,{'mall': 5}
ff4a682c-8a35-47f0-9b24-39af31f423d5,What would you do to a rock when climb up a cliff?,"[{'answer': 'grab'}, {'answer': 'grab'}, {'answer': 'grab'}, {'answer': 'grab'}, {'answer': 'throw'}]","[{'feedback': ""Sentence structure of question isn't correct.""}]",grab,"{'grab': 4, 'throw': 1}"
70f620f2-315d-4afb-9be9-71e44074c904,Where would you expect to find white mice?,"[{'answer': 'laboratory'}, {'answer': 'laboratory'}, {'answer': 'laboratory'}, {'answer': 'countryside'}, {'answer': 'laboratory'}]","[{'feedback': 'I think that the most common sense answer would a laboratory because white mice may be used in experiments in a laboratory - but I also think that white mice can be found in a countryside, an attic or even possibly in a bush!'}]",laboratory,"{'laboratory': 4, 'countryside': 1}"
7b7af89a-e7bb-4f3b-a388-f4a6e967c7dd,What could go to a tennis court?,"[{'answer': 'athletic club'}, {'answer': 'athletic club'}, {'answer': 'athletic club'}, {'answer': 'recreational center'}, {'answer': 'park'}, {'answer': 'park'}, {'answer': 'park'}, {'answer': 'athletic club'}, {'answer': 'recreational center'}, {'answer': 'athletic club'}]","[{'feedback': 'An athletic club is the most the commonsense answer here - but I also think that park and recreational center are good options as well!'}, {'feedback': 'Question is confusing. Many answers work here.'}]",athletic club,"{'athletic club': 5, 'recreational center': 2, 'park': 3}"
3e4d5cbe-c0df-4fdb-aa10-6a4356f04a10,Where might a mouse be found to make it country?,"[{'answer': 'old barn'}, {'answer': 'old barn'}, {'answer': 'old barn'}, {'answer': 'old barn'}, {'answer': 'old barn'}]",[],old barn,{'old barn': 5}
366eadc7-8c90-4f28-a39a-2e8b95a9deaf,"If I wanted to eat something that is made from plants and needs to be washed, what would it be?","[{'answer': 'roots'}, {'answer': 'leaves to gather light'}, {'answer': 'roots'}, {'answer': 'roots'}, {'answer': 'roots'}]","[{'feedback': 'The most commonsense answer is roots because the other options have no connection to eating food like roots does!'}, {'feedback': 'Not sure about this one.'}]",roots,"{'roots': 4, 'leaves to gather light': 1}"
